,reference,prediction,rouge1,rouge2,rougeL,bs_f1_raw,bs_f1_rescaled
399,Rael finds the atmosphere at her workplace to be unbearable. Many people switch their career paths and move to the IT sector. Rael only needs good analytical skills and an on-line course to start work in IT.,Rael hates her job. She doesn't have time to eat her lunch. She doesn't want to quit her job. She doesn't have any technical studies.,12.12,0.0,12.12,87.93,28.5
400,Susan went on a date to the rollerskating disco and she enjoyed it. Jill doesn't find it exciting.,Susan went to a rollerskating disco with her date. He picked her up from home and dressed her up.,42.11,11.11,31.58,91.61,50.26
401,Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,Joe and Pete are going to watch Deadpool 2 tonight.,64.0,43.48,48.0,94.55,67.68
402,"Euodia didn't know about TikTok application, so Domigo explained what it was.",Domigo and Euodia are discussing what Tiktok is.,38.1,0.0,19.05,90.31,42.58
403,Hugh shares a photo of his son with Joan and Julia. ,Hugh sends Julia and Joan a photo of his son.,85.71,42.11,57.14,95.72,74.66
404,"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding. ","Nathalie, Pauline and Anthony are going on holiday in August. Nathalie's sister is getting married.",40.82,21.28,40.82,93.83,63.45
405,"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes. ",Lori will meet Maria at Prudential in 5 minutes.,41.03,21.62,35.9,91.34,48.67
406,"Randy has been lying about being rich and travelling around the world, as he lives in a studio apartment in the suburbs.",Jay is a pathological liar.,7.41,0.0,7.41,89.76,39.33
407,"Telly, Chuck and Ally talk about a New Year's party they will attend.",Ally and Chuck are planning to go to Luke's New Year's party. There's also a party at Bernie's.,44.44,17.65,27.78,92.1,53.19
408,Karen passed a driving exam.,"Karen passed. Simon, Tim and Patty have a new driver.",40.0,15.38,40.0,91.22,47.97
409,The particles in Gill's current peeling are too small. She'll try making her own peeling from ground coffee.,Gill needs a new peeling. Bunny suggests making her own.,33.33,14.29,33.33,88.77,33.49
410,Ryan is visiting family in Manchester for Christmas. Chris stayed home with Ann.,Chris and Nick are visiting family in Manchester for Christmas. Chris stayed at home with Ann for the first time.,66.67,58.06,66.67,96.01,76.38
411,Bruce informs Oliver that the campaign is more than successful. They have so far won about 200 backers and crowdfunded 6123 dollars.,Oliver's campaign is going well. There are around 200 backers. They've reached 5000 dollars.,36.84,11.11,31.58,91.22,48.0
412,Liam will pick up Kane at 8. ,Liam will pick up Kane at 8.,100.0,100.0,100.0,100.0,100.0
413,Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,Kate had a fight with Chris. Kate is angry because he keeps talking to her. Kate is angry because he keeps talking to her. Kate is angry because he keeps talking to her.,24.24,15.62,24.24,88.73,33.2
414,"Celine and Mark went skating, it's the first time for Mark.",Mark doesn't know how to skate.,10.53,0.0,10.53,90.48,43.6
415,Sarah paid 500 quid to go back home for Passover. Sarah is going to the desert with the whole family. Lia went to Negev last year. Passover is both Lia and Sarah's favorite holiday. Lia will talk to her mum about the tickets. Sarah is flying on the 28th.,"Sarah is going back home for Passover on the 28th. Lia's family wants her to come, but the tickets are expensive and she has a lot of work. She bought her tickets yesterday and paid 500 pounds. She will see if her family can help her.",44.44,20.62,22.22,90.32,42.64
416,"Jack has not received yet the package Gene had sent him on Friday. She sent him the tracking number, so he could check the status of the shipment. ",Jack didn't get the package Gene sent him on Friday.,41.03,27.03,41.03,93.47,61.29
417,Miranda can't make her meeting with Stephanie as she has to work. ,Miranda has to work because young doctors work 20 hours a day.,32.0,17.39,32.0,89.34,36.83
418,Blake will be waiting for Clara and Jenny on the platform a fabro-ficule.,"Clara, Blake and Jenny are going to a place called fabro-ficule.",53.85,16.67,46.15,92.45,55.24
419,Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,"Raymond wants to eat pizza, pasta and pesto pennes. Charlotte will come over to him in 15 minutes.",37.84,0.0,37.84,88.79,33.57
420,"Dwayne will watch the new season of ""Jersey Shore"" on Zack's advice. The first episodes of the new season are hilarious. Season 2 is upcoming.","Zack, Dwayne and Dwayne are going to watch the new Jersey Shore season.",46.15,16.22,35.9,91.78,51.33
421,"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",Will doesn't like ques. He's standing in a line longer than the post office to send a letter in the 21st century.,29.51,6.78,22.95,87.2,24.15
422,Ella and Serena went to Cork club last weekend. The club was empty and they did not like it.,"Tobi, Serena and Ella went to Cork club last weekend.",62.07,37.04,48.28,93.44,61.15
423,Molly and Margaret are going to Sweden in January. Kai and Peter advise them to stay in Stockholm and visit Vasa Museum.,It's January in Sweden. It will be dark and cold. Kai recommends visiting the Vasa Museum.,35.9,5.41,25.64,90.28,42.44
424,Frank will join Avril at the races at the weekend.,Frank doesn't have any plans for the weekend. He will come with Avril to see horse racing.,35.71,7.69,21.43,92.64,56.38
425,Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,Mel will take Adam and Xander to Multisports this week. Mair will bring them to the house at half 10.,70.83,52.17,58.33,93.47,61.34
426,Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,"Ethan is back from the meeting with Dustin and Ray. He's going to the gym every other day, but this week he's trained every day. Ethan will pick up the kids at 9 pm at his place.",58.46,15.87,36.92,93.13,59.3
427,Diana and Fran are going to a hip-hop workshop in a week.,Diana and Frann are going to a hip-hop workshop. They will meet in a week.,82.76,66.67,82.76,96.48,79.15
428,Pam has probably left her phone when she was shopping. Dot suggests there is a way to get it back.,Pam lost her phone. She will send Dot a message about it.,43.75,6.67,43.75,91.38,48.94
429,"A person was beaten and mugged on campus and had to be hospitalised. The attacker wore a mask. An official statement will be released, along with a newspaper article. Truman and Rodney think the campus security is subpar, even though there are cameras around.",A student got beaten and mugged on campus. The assailant had a mask on him.,33.9,17.54,30.51,91.42,49.15
430,Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,"Nathan, Deborah and Lucy are packing everything for tomorrow. Deborah will pick up the girls from school. They will meet at home. Deborah forgot to buy a syrup for travelling. Nathan will meet with Deborah in the evening.",38.3,8.7,23.4,88.87,34.08
431,Alexander finds Mr Linda's voice monotonous. Igor fell asleep during the lecture. Casper reckons it's a waste of time. They are going to meet near the university and go somewhere else instead. ,"Alexander, Casper and Igor are going to the circus tomorrow.",36.36,9.52,27.27,87.8,27.74
432,Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,Javier is looking for a tattoo parlor with English speaking employees. Judie's husband has a tattoo there. Javier will get a tattoo back in Colombia.,21.43,3.7,21.43,88.96,34.59
433,Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,"Sam, Jessica and Michael are in a nice hotel. They will meet on the 15th of August at 2 pm.",60.47,34.15,55.81,93.26,60.06
434,"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.","Marsha, John and Gavin will spend a week on the beach. Marsha found a hotel in Nosy Be. It's cheaper than hotels on the mainland.",61.82,41.51,50.91,93.48,61.38
435,Cyprien irritates Adelina by giving too many responses.,"Adelina wants to know where Cyprien comes from. Cyprien is from Jarrow, Loughborouogh and Loughborouogh.",17.39,0.0,8.7,86.19,18.16
436,Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3. ,"Joanna needs to remove the coffie stains from her dress. Ethel recommends a cheap one at Jagiellonska 3, which cleaned up all the stains from her favourite dress.",39.02,10.26,34.15,90.33,42.73
437,"Anna proposes Charlie eating a pizza tonight. Charlie refuses, because he is upset about the things that happened.",Anna and Charlie will have pizza tonight.,32.0,8.7,32.0,90.82,45.61
438,A lot of sick people go to Nadine's clinic because of the cold weather.,It's cold outside. Kris is dying. Ovi doesn't want to go anywhere. Jason has been running around the city all day in the cold. Nadine will visit him at her clinic.,29.17,4.35,12.5,88.72,33.18
439,Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,Leticia is in need of 10$. She will lend it back as soon as possible. Leticia lost her wallet or someone stole it. Miranda is also here.,31.03,14.29,17.24,89.23,36.21
440,Paula needs the paper from the office to submit an application.,Paula is going to the office tomorrow. The deadline for the application is Friday at noon.,44.44,8.0,29.63,91.73,50.97
441,Ben and Steven will go to Marco's tonight to eat pizza.,Ben and Steven will have pizza tonight at Marco's.,72.73,40.0,54.55,97.48,85.06
442,Terence accused Daniel of taking his money. Terence finds the money later and apologizes to Daniel. Daniel is still upset.,Danny took Terence's money. Terence is upset because he forgot to put it somewhere last month.,32.43,5.71,27.03,90.73,45.08
443,Levy hasn't taken the trash out because parents didn't ask him. Lucy will do it.,Lucy will have to throw the garbage out.,32.0,8.7,16.0,90.11,41.38
444,Willy and Vinny will car pool with Winny's red Mustang.,Willy wants to borrow Vinny's car.,44.44,0.0,33.33,92.12,53.29
445,"Sage is having a beer. Lindsey has just finished her class but is not going to the next one. Just like last week, Lindsey has asked a classmate to fake her signature on the attendance list.",Lindsey has just finished her class. Sage and Sage are having a beer. Lindsey asked one girl to put her name on the attendance list instead of her. Lindsey gave them a piece of paper with her name on it.,52.63,29.73,36.84,91.24,48.1
446,Jason wants to meet Dory over the weekend. Dory's friend is going to stay with her for a week. Jason has been working on a movie with Lucy for the past two months. Jason bought a video-creator app.,Dory's friend is coming over the day after tomorrow. Jason bought the app to video and to edit and Lucy has a script.,50.0,16.13,25.0,89.77,39.41
447,"Jared and Michelle used to go out together. Now he'd like to ask Kelly, Michelle's best friend, out. He gets her permission.",Michelle loves Kelly. Jared doesn't want to ask her out. Michelle and Jared used to go out.,61.9,20.0,28.57,92.62,56.28
448,Reeve has no plans for the winter break. Booker is going to ski in Italy. Dodson and Trish are thinking of going to the seaside somewhere near for 3/4 nights.,"Winslow, Dodson and Reeve are going to Italy for winter break. They will go to Dominicana.",46.81,13.33,25.53,88.98,34.72
449,Alex is coming for a drink tonight at 8 to Zayna's place.,Zayna and Alex will have a drink tonight at 8 pm at Alex's place.,64.29,38.46,57.14,95.77,74.92
450,Grace and Audrey didn't manage to talk at yesterday's party. Grace is about to graduate. She doesn't know if she will apply for a grad school or take a gap year.,Grace didn't get to talk to Audrey much at the party last night. Grace is excited about graduating soon. Grace has also thought about taking a year off.,44.44,9.84,38.1,92.9,57.91
451,Natalie wants Monica's cheesecake recipe.,Monica sends Natalie the recipe for her famous cheesecake.,53.33,0.0,26.67,93.85,63.54
452,Ethan will soon send Jason's phone number to Dixie.,Dixie wants Jason's phone number. Jair doesn't have it. Ethan will send her in a minute.,57.14,30.77,28.57,91.8,51.43
453,"Amanda will give another try to ""Parks and Rec"".","Amanda liked parks and rec, but she's not a big fan of the woman who plays the main character. Vincent wants Amanda to try the show again.",32.43,11.43,21.62,89.44,37.42
454,Bob has bought a new game. Harry can't afford to do it at the moment.,Bob bought a game and he and Harry will play it together. Harry has a broken car and a bad job.,37.84,5.71,32.43,90.98,46.54
455,"Randal is buying nail polish for Sidney in the store, and she's explaining to him which pink she wants. ",Randal bought all but the nail polish. The one on the left is pink and the one on the left is fuschia. The shop assistant is looking at Randal.,28.57,4.26,20.41,88.26,30.47
456,"Pat is interested in baseball and hockey, he doesn't know much about basketball anymore. He plans to play basketball with Mike one day.",Mike and Pat are going to meet to play hoops in Chicago.,33.33,5.88,16.67,89.44,37.41
457,Nate and Julie are overbooked. Nate is having problems with the registration system so he has to deal with it himself.,Nate's room is overbooked. He needs to create a new file and feed the data into the tables.,35.0,0.0,20.0,90.86,45.85
458,"Farrah shared his collection of fossils with the class, and Enrique was very impressed. Enrique would like Farrah to show the collection for the 4th grade students as well.",Enrique shared his collection with the class. It was a fun day for him and his class. He will come back to the class at any time.,42.11,14.55,31.58,90.23,42.09
459,The temperatures where Thomas stays are -3 at night. There is frost in the morning. Zoey is in the tropics. Thomas had a walk around Belchen's summit on Sunday.,Zoey and Thomas are in the tropics. They are staying healthy. On Sunday they had a walk around the summit of Belchen.,57.69,24.0,38.46,91.54,49.88
460,"Trinny, Susannah and Linda will meet at 6 at the main entrance.","Trinny, Susannah and Linda will meet at 6 at the main entrance.",100.0,100.0,100.0,100.0,100.0
461,"Emma, Peter and Daniel are going to Amiens tomorrow. Emma and Daniel are tired of Paris. Emma and Daniel will meet at Emma's place tomorrow at 9 AM.","Emma, Peter and Daniel are going to Amiens tomorrow. They will meet at Emma's place at 9 am.",75.0,65.22,75.0,97.11,82.85
462,Breann and Dianne are going to buy a cheetah print pet hut with a 10% coupon code.,Breann and Dianne have a 10% coupon code for new customers when they check out.,43.75,33.33,43.75,90.56,44.07
463,"When Wanda and Hugh arrive, they will quickly make the pizza and get started. They need to make the base and prepare everything earlier. ","Hugh, Wanda and Wanda will make the pizza and prepare everything before they arrive.",63.16,33.33,47.37,93.13,59.31
464,James informs that the next ASEEES conference will be held in San Francisco. Chloe was hoping for Hawaii. James doesn't think there will be a conference in Hawaii soon due to the high cost of travel.,The next ASEEES conference takes place in San Francisco. The last one in San Francisco in 1993 was criticized for the high costs of travelling to the place.,43.08,22.22,36.92,91.5,49.64
465,Jim tracks Finn's package number 45678 which will be delivered to him tomorrow. ,Jim will track Finn's shipment. His order number is 45678.,48.0,8.7,40.0,92.36,54.75
466,"The content for November email blast is on the Dropbox, no need to send it.",Rhonda will send Precious the content for the November email blast.,61.54,33.33,46.15,90.06,41.08
467,Derek McCarthy will pick up an Android cable from Tommy's wife at 8:15.,Tommy is in Poland and wants to borrow an Android cable from Derek McCarthy.,48.28,29.63,27.59,89.82,39.66
468,Judy is staying for the weekend. Derek asks Judy to feed his animals on Friday and Saturday. Judy agrees. Derek will give her his keys on Thursday and provide Judy with details.,Judy will feed Derek's animals on Friday and Saturday. She will give Derek her keys on Thursday.,60.0,29.17,52.0,93.61,62.16
469,"Laura, Kelsey, Oona and Sid are going to see ""Aquaman"" on Thursday at 8:10 pm. Oona will get the tickets.","Laura, Kelsey and Sid are going to see Aquaman on Wednesday. Oona can't because she's free Thursday-Sat. She's free Thursday after 7 PM. Oona will get the tickets.",67.92,50.98,64.15,93.27,60.13
470,Rob wants to start doing 30 minutes of physical activity every day. Greg is already doing 60 minutes. Anna wants to start exercising just like Rob. ,Rob wants to start the Get off the couch challenge. He's going to start with 30 minutes of activity every day.,50.0,34.78,41.67,91.65,50.54
471,Cynthia and Bennett will go to a new bistro she discovered. ,"Bennett, Cynthia and Cynthia are going to a new bistro in town.",60.87,38.1,52.17,94.24,65.88
472,Lorenzo took keys from airbnb and went to the room. He's waiting for Will and Amanda.,"Will is on the train in Arezzo, Amanda is on the highway and Lorenzo has just arrived. He will take the keys and go to the room.",45.45,9.52,27.27,90.18,41.82
473,Walker and Booker plan to play games all night. Walker will bring his Xbox console at Booker's request.,Walker will bring Booker his Xbox console.,53.85,33.33,46.15,91.77,51.25
474,Laura's mom passed away this morning. Anne and Kristian are showing their support to Laura.,Laura's mother passed away this morning.,52.17,38.1,52.17,95.2,71.55
475,Several cafes were destroyed when the river flooded. The cost of repair is exorbitant.,The cafes by the river are damaged with the flods. The cost to repair the damage is high. Adam misses going to the cafe.,36.84,11.11,36.84,92.43,55.18
476,Katy and Ana invite Carlton to join them for a movie by Lola Arias on the making of the play he had seen. He will come to their place earlier on Saturday.,Ana and Carlos are going to see Lola Arias' film on the making of the play Ana saw about the Malvinas last year. They are meeting on Saturday at 7.,41.94,23.33,38.71,91.17,47.69
477,John sent Henry Bristol Stool Scale. John was expecting a pic of Henry's poop. Henry had a nice poop this morning but isn't willing to send a pic. ,Henry had a poop this morning. John recommends Bristol Stool Scale to Henry.,55.81,29.27,32.56,91.79,51.35
478,"Mary and Patricia are flying to Japan in a week. Patricia is scared of long flight, earth-quakes and tsunamis. James is comforting her. Mary tried to comfort Patricia too with no effect.",Patricia and James are flying to Japan in a week. They are afraid of earthquakes and tsunamis.,52.0,29.17,44.0,92.94,58.2
479,Linda refuses to accept plants for her garden from Mika. She would not be able to plant them before leaving.,Mika wants to buy some plants for Linda's garden.,40.0,7.14,26.67,91.97,52.4
480,"Drade told her brother in the group chatting room that what he had said was wrong. Marenda thinks that he got out of it because he became angry, as he is short-tempered. Drade refuses to apologise and invite him again, since she feels that she is not the one to be blamed but him.",Drade's brother got out of the group chat room. Drade apologized to Marenda's brother and sent the invitation to him.,38.96,8.0,28.57,88.49,31.79
481,Kate broke her arm and she's going to the hospital. She'd like to know whether her medical insurance covers hospital costs. Greg suggests her to call Linda or ask someone at the reception about it.,Kate broke her arm and she's being sent to the hospital. Greg will call Linda or ask someone at the reception.,64.41,52.63,64.41,93.11,59.2
482,Charlie's sister has passed her last university exam. Charlie and Frank will go out to celebrate that tonight.,Charlie wants to go out with Frank and his sister tonight.,53.33,7.14,26.67,92.91,58.0
483,Bella wants to talk with Clara and she will come to her place after 7:30.,Clara will come to Bella's house at 7:30. Clara will have a drink with Bella. Clara's car is taken by Clara's camper.,38.1,15.0,28.57,90.74,45.11
484,Jose Ricky and Amanda are very enthusiastic about the new year as they will travel a lot during the summer of 2019.,"Jose, Ricky and Amanda are celebrating Christmas. They are excited to go to Cuba.",33.33,23.53,33.33,90.79,45.42
485,Rob will be home tomorrow. Rob and Susan will have dinner together after Rob's work. Susan will cook something special.,Rob will be home tomorrow. Susan will cook something special.,64.52,55.17,64.52,94.93,69.99
486,Denise and Dominique has a test tomorrow on units 2 and 3.,Dominique will prepare units 2 and 3 for tomorrow's test.,60.87,28.57,43.48,94.07,64.84
487,"While redesigning the interior, Steph looks for copper-coloured hangers.",Steph likes the lamps. Sharon doesn't know where to get them.,18.18,0.0,9.09,86.74,21.42
488,"Anna can't talk to Peter right now, she will call him in 20 minutes. ",Anna can't talk to Peter because she's still at work. She will call him in 20 minutes.,76.47,68.75,76.47,95.57,73.74
489,Jesse broke his razor and wants to borrow Stig's.,Jesse broke her razor and fell out of her hands.,40.0,22.22,40.0,89.38,37.06
490,Mary is giving Matt Patrick's new phone number.,Patrick is not picking up Matt's calls. He changed his number.,47.62,0.0,38.1,91.9,52.01
491,"Uncle Sam was in hospital, but it was nothing serious. He and Lucy are like second parents to Chiara  and Yvonne. Chiara and Yvonne were in Chicago 2 weeks ago at their cousin's wedding. Yvonne is dating an Argentinian.",Uncle Sam has just come back from work. His father told them he was in hospital. They were at their cousins' wedding in Chicago 2 weeks ago.,44.78,24.62,32.84,88.33,30.87
492,"Thomas will buy butter. He is on his way home. Jack is making a mushroom soup, but will wait with cooking until Thomas comes.",Jack will buy butter for Thomas. He's coming home. He's making a mushroom soup.,55.0,26.32,45.0,92.47,55.36
493,Helen has left her laptop at home and needs it for the presentation today. Debbie will bring it to Helen's work. ,Helen will bring Debbie's laptop to work.,53.33,7.14,33.33,91.32,48.54
494,Jessica's plant is withering. She doesn't know what plant it is. Boston found it out using Google Images.,Jessica got a plant for her birthday. Boston will take a photo of it.,23.53,0.0,23.53,90.03,40.95
495,"John and Annie are moving to London because he lost his job in Germany and found a better offer working in IT here. Annie isn't happy with the move. Amber, who was supposed to stay in their London flat for 5 years, has to move. Erin offers her place but Amber plans on staying with John and Annie.",John and Annie are coming back to London. John lost his job in Germany. John got a better offer from another IT company in London. Amber will rent John's place until they return from Germany.,42.11,21.51,40.0,90.54,43.97
496,"They are meeting at Fratellis, upstairs.",Vicky will meet Audrey and Greg at town sq for 7.30 pm. Vicky is heading to fratellis. Michelle will be there in 10 minutes.,12.9,0.0,12.9,88.68,32.9
497,Kaylin has set her alarm for tomorrow.,Kaylin sends Amir a video of Cynthia typing in the file.,11.11,0.0,11.11,89.37,37.0
498,"Keira wonders why wildangel plays in the wrong order. Lois is considering deleting her account as she could not log on. Lois saw Keira's sister in town, who was supposed to be grounded. Keira might tell on her. ",Lois couldn't get onto her account because she created it when she was 10. Keira saw Lois' sister in town.,36.67,10.34,26.67,89.29,36.56
499,Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,Natacha will pick Charles up at the RER station.,46.67,14.29,26.67,91.03,46.83
500,Simon was on the phone before so he didn't hear Helen calling. Simon will fetch Helen some tissues as they're out of toilet paper.,Simon will fetch some tissues from Helen's toilet paper.,44.44,23.53,38.89,90.73,45.07
501,There is a blizzard going on outside. Ricky went hiking a couple years ago with friends. They rented a cabin in the wild.,Ricky and Tom went hiking in the mountains a few years ago. They rented a cabin for a weekend away.,60.47,29.27,46.51,92.29,54.29
502,Johny wants to go for a gig with Lucy. She prefers to go with Maggie and her best friends. They will meet at 6 PM at her house to prepare for the evening. The gig starts at 8 PM.,Lucy and Johnny will go to Lucy's gig at 6 pm. The gig starts at 8 pm.,52.63,25.45,42.11,91.63,50.38
503,"It's payday tomorrow. When Jack gets home, he and Rose will talk about Christmas gifts for everybody. ",Rose and Jake are thinking about Christmas gifts for payday's tomorrow. Rose loves making gifts for people.,50.0,17.65,27.78,91.03,46.84
504,Martha saw a documentary about minimalism.,"Jake thinks minimalistism is about changing the paradigm from buying cheap things to buying expensive ones. Martha thinks it's a good idea to buy things that will serve her longer, but it's difficult to be mindful about everything you buy.",12.5,0.0,12.5,88.37,31.07
505,Albert has passed his driving test on the 4th attempt.,Albert passed the driving exam for the 4th time.,57.14,21.05,57.14,95.4,72.77
506,Jaya hasn't seen Ravi's mum for 4 months in the club. Ravi's mum has been suffering from knee pain for 5 years. Ravi's mum stays at home following doctor's advice. Ravi will pass Jaya's wishes to his mother.,Jaya hasn't seen Ravi's mother in the club for almost 4 months. She has been suffering from knee pain for almost 5 years now and the doctor has asked her to restrict movement. She has always maintained a healthy lifestyle. She had mild ache in her knees for the past few years but had been ignoring it.,46.6,29.7,38.83,91.03,46.83
507,"Lynn and Diana are disgusted by sugar babies, Wilbur tries justifying this lifestyle, but Justin doesn't believe it.",Lynn has sex with some old wrinkled guy who rubs his old saggy balls all over her.,5.56,0.0,5.56,85.27,12.73
508,Alice has a terrible flu. She's forgotten to vaccinate herself.,Alice has a terrible flu. She has a fever and sneezing all the time. Alice is home for 10 days.,38.71,34.48,38.71,90.82,45.59
509,Sandra bought a present for Milla right before Marco's party and left it in his place. She asks Marco to bring it over. ,Marco left a Millas present at his place yesterday.,36.36,6.45,24.24,88.26,30.41
510,Mum will prepare something to snack on for Steve.,Steve is starving. Mum will wrap something for him.,55.56,12.5,44.44,93.01,58.56
511,Zariah has been suffering from back pain recently.,Dane has a pain in his back.,40.0,0.0,26.67,93.7,62.68
512,James misses Hannah. They agree for James to pick Hannah up on Saturday at 8.,Hannah is about to sleep. She will pick James up at 8 on Saturday.,62.07,14.81,41.38,92.64,56.42
513,Rachel and Caron are getting drinks in Red Lion at 8 tonight.,Rachel and Caron will have a drink at Red Lion at 8.,58.33,45.45,58.33,97.38,84.48
514,Victor cannot help Sara with the event they're organizing as he's busy this Saturday.,Victor will help Sara with the event on Saturday.,56.0,34.78,56.0,93.65,62.38
515,"Mike and Dave notice Wendy got prettier. Dave wants to hit on her, but she's with Jerry. He'll try anyway.",Wendy has grown prettier since she came from Houston. Dave will hit on Wendy soon as Jerry is Wendy's lover.,37.21,4.88,27.91,90.62,44.44
516,Patricia cannot talk now. George will call her in about an hour.,George will call Patricia in about an hour.,80.0,55.56,70.0,95.59,73.87
517,Mario is waiting on the airport in Luxemburg now.,Mario has landed in every airport in Europe today. Mario is waiting in Luxembourg now.,50.0,27.27,41.67,94.11,65.09
518,Lena and Brian don't like their new professor. They will see each other at philosophy class tomorrow.,Brian didn't listen to the new professor's homework. Lena and Brian will see each other tomorrow at the philosophy class.,70.0,36.84,55.0,95.41,72.82
519,Elvina needs information about the dress code at the local theatre. Booth has been there before and recommends wearing something casual. Averil is surprised there even is a theatre.,Elvina and Booth went to the theatre with actors and stage.,25.0,0.0,20.0,88.85,33.95
520,Callum is still busy.,Jair is busy.,57.14,0.0,57.14,94.25,65.94
521,Emily is waiting for Jacob while the buses have almost left.,The buses are about to leave. Jacob will reach the parking lot at 10.,24.0,8.7,16.0,90.38,42.99
522,"Chuck told Ella that he'd met up with Molly. He made up the story, as actually Molly refused to go out with him. ",Molly met Chuck on Friday.,20.69,0.0,6.9,88.41,31.3
523,Sally and Rita like Borns' new album very much. Rita is also excited about Florence's new single which comes out tomorrow. Sally didn't know about it.,Borns' new album amazeballs and Faded Heart. Florence's new single is out tomorrow.,52.38,30.0,42.86,88.15,29.79
524,Gloria is frustrated with her financial situation. She will try to plan her meals better.,Gloria is too poor for her lifestyle. She made sushi and tiger prawn korma. She made pancakes and soups.,23.53,6.25,23.53,89.05,35.12
525,Haley sends Jenny and Tess a photo of when Bella the cat was 2 weeks old.,Haley found a photo of Bella on her computer.,40.0,17.39,40.0,90.72,45.03
526,"Jeff, Peter and Miranda wonder what American and global economy will be like.","Christmas at Wall Street was the worst since the end of the 19th century, but it has bounced back since. Jeff and Peter are not economists, but they think the US economy will get weaker and the growth will be weaker.",25.45,7.55,18.18,86.95,22.7
527,Alexa asked Ethan to insult Hunter out of jealousy.,Alexa wants to confess to Hunter that she asked Ethan to insult her.,54.55,30.0,45.45,93.95,64.15
528,Ann is still at school. She will be home at 7 so she can meet Meg then.,Ann has extra math classes at school. Ann will be home at 7.,53.33,35.71,53.33,92.86,57.69
529,Lorenna is not coming to the party because her daughter is ill. She is going to see a doctor with her. Ann and Shirley send kisses to the kid.,Lorenna can't come to the party tomorrow because Emma has a fever and she needs to take her to the doctor.,50.98,12.24,39.22,92.3,54.37
530,"Iga and her boyfriend are not sitting together since Monday, because they had to cancel their weekend getaway. It made Iga very angry. Iga's boyfriend failed to convince a group to change the date of the presentation.","Iga planned a weekend getaway with her boyfriend, but they had to cancel because he couldn't talk his group into changing the date of the presentation.",52.31,28.57,40.0,92.77,57.17
531,"Samuel's language is Telugu, which is spoken in south east India. It has nearly 90 million speakers; it's written left to right; it's based on Brahmin script. Teluguland has 23 provinces. It's quite poor. ""Anna"" means ""elder brother"" and Thammu or Thammadu - ""younger brother"". Tim's 55, Samuel's 35.",Tim is 55 years old and speaks Telugu in Southeast India.,21.54,0.0,12.31,85.57,14.51
532,Pete will get a pear yogurt for Jen if they have it.,Pete wants yogurt with pear flavour. Jen doesn't like any other flavour.,32.0,0.0,24.0,90.36,42.86
533,"Eve, Charlie and Nicole are meeting at the entrance.",Charlie and Nicole are meeting at the entrance.,94.12,93.33,94.12,97.8,86.97
534,Jenkin has been reading about spirit animals and he was drawn to a dolphin. Sophie would choose a fox. Jenkin will bring pack of cards with spirit animals to Sophie tomorrow.,Jenkin wants to know what Sophie's animal is. Sophie doesn't know what a fox is. Jenkin wants to know what a fox is. Sophie will bring the cards to Jenkin tomorrow.,40.62,6.45,34.38,90.25,42.24
535,Daisy is sending Scarlett her RGS application.,Daisy sends Scarlett her RGS application.,76.92,54.55,76.92,97.9,87.54
536,Christie and Katie are tired after the party. They both had fun.,Christie and Katie are tired after the party.,80.0,77.78,80.0,97.06,82.57
537,Carla has a day off tomorrow. She will meet Sam in Meanwood in a cafe at 2 pm.,Carla and Sam will meet at Meanwood cafe at 2 pm tomorrow.,66.67,28.57,53.33,94.97,70.23
538,Daniel will find out who rents a pop corn machines on Lily's request.,Lily needs to rent a pop corn machine for her and Daniel's office Christmas party.,40.0,14.29,26.67,89.08,35.29
539,Louis doesn't know what he should give Lilly and Stephen as their wedding gift. Sara advises him to check if they have a gift list.,Louis wants to buy Lilly and Stephen for the wedding. Sara is on a boring meeting.,38.1,10.0,33.33,89.42,37.32
